"id","code","warehouse_id","area_id"
"04u8hsv4ia680","K01","0484j4z11q4u8","0529pwx859gcg"
"04u8i7m635wqo","K02","0484j4z11q4u8","0529pwx8cr5ds"
"04u8i7m65nt34","K03","0484j4z11q4u8","7777pwx859gcg"
"04u8i7m685pfk","K04","0484j4z11q4u8","7777pwx8cr5ds"
"04u8i7m6anls0","K05","0484j4z11q4u8","0529pwx859gcg"
"04u8i7m6d5i4g","K06","0484j4z11q4u8","0529pwx8cr5ds"
"04u8i7m6d5i4h","K07","0484j4z11q4u8","7777pwx859gcg"
"04u8i7m6fnegw","K08","0484j4z11q4u8","7777pwx8cr5ds"
"04u8i7m6kn75s","K09","0484j4z11q4u8","0529pwx859gcg"
"04u8i7m6n53i8","K10","0484j4z11q4u8","0529pwx8cr5ds"
"04u8i7m6pmzuo","K11","0484j4z11q4u8","7777pwx859gcg"
"04u8i7m6pmzup","K12","0484j4z11q4u8","7777pwx8cr5ds"
"04u8i7m6s4w74","K13","0484j4z11q4u8","0529pwx859gcg"
"04u8i7m6umsjk","K14","0484j4z11q4u8","0529pwx8cr5ds"
"04u8i7m6x4ow0","K15","0484j4z11q4u8","7777pwx859gcg"
"04u8i7m6zml8g","K16","0484j4z11q4u8","7777pwx8cr5ds"
"04u8i7m724hkw","K17","0484j4z11q4u8","0529pwx859gcg"
"04u8i7m724hkx","K18","0484j4z11q4u8","0529pwx8cr5ds"
"04u8i7m74mdxc","K19","0484j4z11q4u8","7777pwx859gcg"
"04u8i7m79m6m8","K20","0484j4z11q4u8","7777pwx8cr5ds"
"04u8i7m7c42yo","K21","0484j4z11q4u8","0529pwx859gcg"
"04u8i7m7elzb4","K22","0484j4z11q4u8","0529pwx8cr5ds"
"04u8i7m7elzb5","K23","0484j4z11q4u8","7777pwx859gcg"
"04u8i7m7h3vnk","K24","0484j4z11q4u8","7777pwx8cr5ds"
"04u8i7m7jls00","K25","0484j4z11q4u8","0529pwx859gcg"
