"id","name","material_id","rule_id","is_default"
"04q96289201z4","YDK28A-6AL2栈板","md-enterprise.0484vrre2r8xs","04q95p06a6kn4","0"
"04q96s28tkgzl","空调铁壳电机栈板","md-enterprise.0484vrre2r8xs","04q96c06d0268","1"
"04q96vjgutibk","空调铁壳电机栈板","md-enterprise.0484vrre7r1mo","04q96c06d0268","1"
"04q96vjgxbeo0","空调铁壳电机栈板","md-enterprise.0484vrrecqubk","04q96c06d0268","1"
"04q96vjgxbeo1","空调铁壳电机栈板","md-enterprise.0484vrrehqn0g","04q96c06d0268","1"
"04q96vjgztb0g","空调铁壳电机栈板","md-enterprise.0484vrremqfpc","04q96c06d0268","1"
"04q96vjgztb0h","空调铁壳电机栈板","md-enterprise.0484vrrep8c1s","04q96c06d0268","1"
"04q97ue5zpy4g","栈板","md-enterprise.0484vrr9wxc74","04q95p06a6kn4","1"
"04q97ue627ugw","栈板","md-enterprise.0484vrra4f18g","04q95p06a6kn4","1"
"04q97ue64pqtc","栈板","md-enterprise.0484vrra9etxc","04q95p06a6kn4","1"
"04q97ue69pji8","栈板","md-enterprise.0484vrrabwq9s","04q95p06a6kn4","1"
"04q97ue6c7fuo","栈板","md-enterprise.0484vrragwiyo","04q95p06a6kn4","1"
"04q97ue6epc74","栈板","md-enterprise.0484vrrajefb4","04q95p06a6kn4","1"
"04q97ue6jp4w0","栈板","md-enterprise.0484vrraoe800","04q95p06a6kn4","1"
"04q97ue6m718g","栈板","md-enterprise.0484vrraqw4cg","04q95p06a6kn4","1"
"04q97ue6r6txc","栈板","md-enterprise.0484vrravvx1c","04q95p06a6kn4","1"
"04q97ue6toq9s","栈板","md-enterprise.0484vrrb0vpq8","04q95p06a6kn4","1"
"04q97ue6yoiyo","栈板","md-enterprise.0484vrrb3dm2o","04q95p06a6kn4","1"
"04q97ue716fb4","栈板","md-enterprise.0484vrrbavb40","04q95p06a6kn4","1"
"04q97ue73obnk","栈板","md-enterprise.0484vrrbdd7gg","04q95p06a6kn4","1"
"04q97ue766800","栈板","md-enterprise.0484vrrbid05c","04q95p06a6kn4","1"
"04q97ue78o4cg","栈板","md-enterprise.0484vrrbkuwhs","04q95p06a6kn4","1"
"04q97ue7b60ow","栈板","md-enterprise.0484vrrbsclj4","04q95p06a6kn4","1"
"04q97ue7g5tds","栈板","md-enterprise.0484vrrbuuhvk","04q95p06a6kn4","1"
"04q97ue7inpq8","栈板","md-enterprise.0484vrrbzuakg","04q95p06a6kn4","1"
"04q97ue7l5m2o","栈板","md-enterprise.0484vrrc2c6ww","04q95p06a6kn4","1"
"04q97ue7nnif4","栈板","md-enterprise.0484vrrc7bzls","04q95p06a6kn4","1"
"04q97ue7q5erk","栈板","md-enterprise.0484vrrccbsao","04q95p06a6kn4","1"
"04q97ue7snb40","栈板","md-enterprise.0484vrrchbkzk","04q95p06a6kn4","1"
"04q97ue7v57gg","栈板","md-enterprise.0484vrrcmbdog","04q95p06a6kn4","1"
"04q97ue7xn3sw","栈板","md-enterprise.0484vrrcrb6dc","04q95p06a6kn4","1"
"04q97ue80505c","栈板","md-enterprise.0484vrrcwaz28","04q95p06a6kn4","1"
"04q97ue82mwhs","栈板","md-enterprise.0484vrrd1arr4","04q95p06a6kn4","1"
"04q97ue854su8","栈板","md-enterprise.0484vrrd3so3k","04q95p06a6kn4","1"
