"id","code","name","grade","type","remark","active"
"04x0slf8kqxhc","DF001","刮花","a","appearance",,"1"
"04x0slf8s8mio","DF203","扭曲","a","structure",,"1"
"04x0slf8x8f7k","DF402","韧性不良","a","performance",,"1"
"04x0slf8zqbk0","DF502","贴口偏移","b","packaging",,"1"
"04x0uf3zbqdxc","DF002","毛刺","a","appearance",,"1"
"04x0uf3zgq6m8","DF003","色差","b","appearance",,"1"
"04x0uf3zgq6m9","DF004","气泡","c","appearance",,"1"
"04x0uf3zj82yo","DF005","缩水","a","appearance",,"1"
"04x0uf3zlpzb4","DF006","脏污","b","appearance",,"1"
"04x0uf3zo7vnk","DF007","划伤","a","appearance",,"1"
"04x0uf3zqps00","DF008","缺料","c","appearance",,"1"
"04x0uf3zqps01","DF009","光泽不均","b","appearance",,"1"
"04x0uf3zt7ocg","DF010","变形","a","appearance",,"1"
"04x0uf3zvpkow","JG201","尺寸超差","a","structure",,"1"
"04x0uf3zy7h1c","JG202","装配错位","b","structure",,"1"
"04x0uf40379q8","JG203","扭曲","a","structure",,"1"
"04x0uf40379q9","JG204","断裂","a","structure",,"1"
"04x0uf405p62o","JG205","松动","b","structure",,"1"
"04x0uf40872f4","JG206","间隙过大","a","structure",,"1"
"04x0uf40aoyrk","JG207","螺纹滑牙","b","structure",,"1"
"04x0uf40aoyrl","JG208","孔位偏移","a","structure",,"1"
"04x0uf40d6v40","JG209","部件缺失","c","structure",,"1"
"04x0uf40forgg","JG210","卡扣失效","b","structure",,"1"
"04x0uf40i6nsw","XN401","功能失效","a","performance",,"1"
"04x0uf40i6nsx","XN402","韧性不良","a","performance",,"1"
"04x0uf40kok5c","XN403","绝缘不良","a","performance",,"1"
"04x0uf40n6ghs","XN404","耐压不足","a","performance",,"1"
"04x0uf40pocu8","XN405","电流异常","a","performance",,"1"
"04x0uf40pocu9","XN406","噪音超标","a","performance",,"1"
"04x0uf40s696o","XN407","灵敏度低","a","performance",,"1"
"04x0uf40uo5j4","XN408","寿命不达标","a","performance",,"1"
"04x0uf40x61vk","XN409","温度超限","a","performance",,"1"
"04x0uf40zny80","XN410","振动异常","a","performance",,"1"
"04x0uf4125ukg","BZ501","标签错误","b","packaging",,"1"
"04x0uf414nqww","BZ502","贴口偏移","b","packaging",,"1"
"04x0uf414nqwx","BZ503","包装破损","c","packaging",,"1"
"04x0uf4175n9c","BZ504","说明书缺失","c","packaging",,"1"
"04x0uf419njls","BZ505","配件遗漏","b","packaging",,"1"
"04x0uf41c5fy8","BZ506","防潮不良","c","packaging",,"1"
"04x0uf41c5fy9","BZ507","外箱变形","b","packaging",,"1"
"04x0uf41encao","BZ508","条码模糊","c","packaging",,"1"
"04x0uf41h58n4","BZ509","捆扎不牢","c","packaging",,"1"
"04x0uf41h58n5","BZ510","装箱错误","b","packaging",,"1"
"04x0uf41jn4zk","GL001","表面颗粒","a","appearance","新增通用类","1"
"04x0uf41m51c0","GL002","边缘锋利","b","structure","安全隐患","1"
"04x0uf41m51c1","GL003","焊接不良","a","performance","工艺问题","1"
"04x0uf41omxog","GL004","印刷模糊","c","packaging","标识不清","1"
"04x0uf41r4u0w","GL005","重量偏差","b","structure","物料问题","1"
"04x0uf41tmqdc","GL006","密封性差","a","performance","功能缺陷","1"
"04x0uf41w4mps","GL007","标签脱落","c","packaging","工艺问题","1"
"04x0uf41w4mpt","GL008","螺丝漏打","b","structure","装配问题","1"
"04x0uf41ymj28","GL009","信号干扰","a","performance","功能缺陷","1"
"04x0uf4214feo","GL010","包装潮湿","c","packaging",,"1"
